ID,Invoice_Number,Date,Product_Name,Price,Quantity_Soldd,Cost_per_Unit,Purchase_Type,Payment_Method,StoreID
83,69982,01/12/2023,Chicken Sandwiches,9.95,39.8,2.85,In-store,Credit Card,88783
84,69983,01/12/2023,Fries,3.49,802.29,0.88,In-store,Credit Card,88783
85,69984,01/12/2023,Beverages,2.95,286.44,0.47,In-store,Credit Card,88783
86,69985,01/12/2023,Sides & Other,4.99,64.33,2.25,In-store,Credit Card,88783
87,73636,01/12/2023,Burgers,12.99,70.9,4.32,In-store,Cash,88783
88,73637,01/12/2023,Chicken Sandwiches,9.95,12.46,2.85,In-store,Cash,88783
89,73638,01/12/2023,Fries,3.49,20.92,0.88,In-store,Cash,88783
90,73639,01/12/2023,Beverages,2.95,18.31,0.47,In-store,Cash,88783
91,73640,01/12/2023,Sides & Other,4.99,31.46,2.25,In-store,Cash,88783
92,77291,01/12/2023,Burgers,12.99,19.86,4.32,In-store,Gift card,88783
93,77292,01/12/2023,Chicken Sandwiches,9.95,1.11,2.85,In-store,Gift card,88783
94,77293,01/12/2023,Fries,3.49,15.19,0.88,In-store,Gift card,88783
95,77294,01/12/2023,Beverages,2.95,18.64,0.47,In-store,Gift card,88783
96,77295,01/12/2023,Sides & Other,4.99,1.8,2.25,In-store,Gift card,88783
97,80946,01/12/2023,Burgers,12.99,526.56,4.32,Drive-thru,Credit Card,88783
98,80947,01/12/2023,Chicken Sandwiches,9.95,54.17,2.85,Drive-thru,Credit Card,88783
99,80948,01/12/2023,Fries,3.49,1160.46,0.88,Drive-thru,Credit Card,88783
100,80949,01/12/2023,Beverages,2.95,38.31,0.47,Drive-thru,Credit Card,88783
101,80950,01/12/2023,Sides & Other,4.99,43.89,2.25,Drive-thru,Credit Card,88783
102,84601,01/12/2023,Burgers,12.99,16.47,4.32,Drive-thru,Cash,88783
103,84602,01/12/2023,Chicken Sandwiches,9.95,27.74,2.85,Drive-thru,Cash,88783
104,84603,01/12/2023,Fries,3.49,132.95,0.88,Drive-thru,Cash,88783
105,84604,01/12/2023,Beverages,2.95,23.05,0.47,Drive-thru,Cash,88783
106,84605,01/12/2023,Sides & Other,4.99,25.25,2.25,Drive-thru,Cash,88783
107,88256,01/12/2023,Burgers,12.99,6.08,4.32,Drive-thru,Gift card,88783
108,88257,01/12/2023,Chicken Sandwiches,9.95,1.91,2.85,Drive-thru,Gift card,88783
109,88258,01/12/2023,Fries,3.49,13.18,0.88,Drive-thru,Gift card,88783
110,88259,01/12/2023,Beverages,2.95,3.39,0.47,Drive-thru,Gift card,88783
111,88260,01/12/2023,Sides & Other,4.99,1.6,2.25,Drive-thru,Gift card,88783
112,91911,01/12/2023,Burgers,12.99,7.24,4.32,Online,Credit Card,88783
113,91912,01/12/2023,Chicken Sandwiches,9.95,6.33,2.85,Online,Credit Card,88783
114,91913,01/12/2023,Fries,3.49,113.47,0.88,Online,Credit Card,88783
115,91914,01/12/2023,Beverages,2.95,24.75,0.47,Online,Credit Card,88783
116,91915,01/12/2023,Sides & Other,4.99,2,2.25,Online,Credit Card,88783
117,95566,01/12/2023,Burgers,12.99,1.39,4.32,Online,Gift Card,88783
118,95567,01/12/2023,Chicken Sandwiches,9.95,2.61,2.85,Online,Gift Card,88783
119,95568,01/12/2023,Fries,3.49,6.88,0.88,Online,Gift Card,88783
120,95569,01/12/2023,Beverages,2.95,3.73,0.47,Online,Gift Card,88783
121,95570,01/12/2023,Sides & Other,4.99,1,2.25,Online,Gift Card,88783
122,99221,01/12/2023,Burgers,12.99,480.83,4.32,In-store,Credit Card,88784
123,99222,01/12/2023,Chicken Sandwiches,9.95,135.98,2.85,In-store,Credit Card,88784
124,99223,01/12/2023,Fries,3.49,491.12,0.88,In-store,Credit Card,88784
125,99224,01/12/2023,Beverages,2.95,855.25,0.47,In-store,Credit Card,88784
126,99225,01/12/2023,Sides & Other,4.99,101,2.25,In-store,Credit Card,88784
127,102876,01/12/2023,Burgers,12.99,21.56,4.32,In-store,Cash,88784
128,102877,01/12/2023,Chicken Sandwiches,9.95,7.74,2.85,In-store,Cash,88784
129,102878,01/12/2023,Fries,3.49,62.18,0.88,In-store,Cash,88784
130,102879,01/12/2023,Beverages,2.95,106.78,0.47,In-store,Cash,88784
131,102880,01/12/2023,Sides & Other,4.99,4.21,2.25,In-store,Cash,88784
132,106531,01/12/2023,Burgers,12.99,7.47,4.32,In-store,Gift card,88784
133,106532,01/12/2023,Chicken Sandwiches,9.95,2.01,2.85,In-store,Gift card,88784
134,106533,01/12/2023,Fries,3.49,18.91,0.88,In-store,Gift card,88784
135,106534,01/12/2023,Beverages,2.95,20,0.47,In-store,Gift card,88784
136,106535,01/12/2023,Sides & Other,4.99,1.8,2.25,In-store,Gift card,88784
137,110186,01/12/2023,Burgers,12.99,173.67,4.32,Drive-thru,Credit Card,88784
138,110187,01/12/2023,Chicken Sandwiches,9.95,29.45,2.85,Drive-thru,Credit Card,88784
139,110188,01/12/2023,Fries,3.49,618.34,0.88,Drive-thru,Credit Card,88784
140,110189,01/12/2023,Beverages,2.95,318.98,0.47,Drive-thru,Credit Card,88784
141,110190,01/12/2023,Sides & Other,4.99,28.26,2.25,Drive-thru,Credit Card,88784
142,113841,01/12/2023,Burgers,12.99,14.86,4.32,Drive-thru,Cash,88784
143,113842,01/12/2023,Chicken Sandwiches,9.95,13.87,2.85,Drive-thru,Cash,88784
144,113843,01/12/2023,Fries,3.49,126.65,0.88,Drive-thru,Cash,88784
145,113844,01/12/2023,Beverages,2.95,54.58,0.47,Drive-thru,Cash,88784
146,113845,01/12/2023,Sides & Other,4.99,53.31,2.25,Drive-thru,Cash,88784
147,117496,01/12/2023,Burgers,12.99,2.16,4.32,Drive-thru,Gift card,88784
148,117497,01/12/2023,Chicken Sandwiches,9.95,4.72,2.85,Drive-thru,Gift card,88784
149,117498,01/12/2023,Fries,3.49,9.74,0.88,Drive-thru,Gift card,88784
150,117499,01/12/2023,Beverages,2.95,4.75,0.47,Drive-thru,Gift card,88784
151,117500,01/12/2023,Sides & Other,4.99,1.6,2.25,Drive-thru,Gift card,88784
152,121151,01/12/2023,Burgers,12.99,11.62,4.32,Online,Credit Card,88784
153,121152,01/12/2023,Chicken Sandwiches,9.95,23.12,2.85,Online,Credit Card,88784
154,121153,01/12/2023,Fries,3.49,74.21,0.88,Online,Credit Card,88784
155,121154,01/12/2023,Beverages,2.95,7.46,0.47,Online,Credit Card,88784
156,121155,01/12/2023,Sides & Other,4.99,7.62,2.25,Online,Credit Card,88784
157,124806,01/12/2023,Burgers,12.99,1.85,4.32,Online,Gift Card,88784
158,124807,01/12/2023,Chicken Sandwiches,9.95,3.22,2.85,Online,Gift Card,88784
159,124808,01/12/2023,Fries,3.49,4.87,0.88,Online,Gift Card,88784
160,124809,01/12/2023,Beverages,2.95,7.12,0.47,Online,Gift Card,88784
161,124810,01/12/2023,Sides & Other,4.99,1,2.25,Online,Gift Card,88784
162,128461,01/12/2023,Burgers,12.99,69.21,4.32,In-store,Credit Card,88785
163,128462,01/12/2023,Chicken Sandwiches,9.95,71.16,2.85,In-store,Credit Card,88785
164,128463,01/12/2023,Fries,3.49,324.93,0.88,In-store,Credit Card,88785
165,128464,01/12/2023,Beverages,2.95,625.08,0.47,In-store,Credit Card,88785
166,128465,01/12/2023,Sides & Other,4.99,43.89,2.25,In-store,Credit Card,88785
167,132116,01/12/2023,Burgers,12.99,25.4,4.32,In-store,Cash,88785
168,132117,01/12/2023,Chicken Sandwiches,9.95,22.61,2.85,In-store,Cash,88785
169,132118,01/12/2023,Fries,3.49,24.07,0.88,In-store,Cash,88785
170,132119,01/12/2023,Beverages,2.95,4.75,0.47,In-store,Cash,88785
171,132120,01/12/2023,Sides & Other,4.99,23.85,2.25,In-store,Cash,88785
172,135771,01/12/2023,Burgers,12.99,3.46,4.32,In-store,Gift card,88785
173,135772,01/12/2023,Chicken Sandwiches,9.95,4.62,2.85,In-store,Gift card,88785
174,135773,01/12/2023,Fries,3.49,24.93,0.88,In-store,Gift card,88785
175,135774,01/12/2023,Beverages,2.95,7.46,0.47,In-store,Gift card,88785
176,135775,01/12/2023,Sides & Other,4.99,1.8,2.25,In-store,Gift card,88785
177,139426,01/12/2023,Burgers,12.99,274.98,4.32,Drive-thru,Credit Card,88785
178,139427,01/12/2023,Chicken Sandwiches,9.95,147.94,2.85,Drive-thru,Credit Card,88785
179,139428,01/12/2023,Fries,3.49,91.12,0.88,Drive-thru,Credit Card,88785
180,139429,01/12/2023,Beverages,2.95,841.36,0.47,Drive-thru,Credit Card,88785
181,139430,01/12/2023,Sides & Other,4.99,119.64,2.25,Drive-thru,Credit Card,88785
182,143081,01/12/2023,Burgers,12.99,23.86,4.32,Drive-thru,Cash,88785
183,143082,01/12/2023,Chicken Sandwiches,9.95,12.16,2.85,Drive-thru,Cash,88785
184,143083,01/12/2023,Fries,3.49,30.37,0.88,Drive-thru,Cash,88785
185,143084,01/12/2023,Beverages,2.95,146.44,0.47,Drive-thru,Cash,88785
186,143085,01/12/2023,Sides & Other,4.99,14.23,2.25,Drive-thru,Cash,88785
187,146736,01/12/2023,Burgers,12.99,7.31,4.32,Drive-thru,Gift card,88785
188,146737,01/12/2023,Chicken Sandwiches,9.95,4.32,2.85,Drive-thru,Gift card,88785
189,146738,01/12/2023,Fries,3.49,8.88,0.88,Drive-thru,Gift card,88785
190,146739,01/12/2023,Beverages,2.95,3.39,0.47,Drive-thru,Gift card,88785
191,146740,01/12/2023,Sides & Other,4.99,1.6,2.25,Drive-thru,Gift card,88785
192,150391,01/12/2023,Burgers,12.99,12.24,4.32,Online,Credit Card,88785
193,150392,01/12/2023,Chicken Sandwiches,9.95,6.03,2.85,Online,Credit Card,88785
194,150393,01/12/2023,Fries,3.49,77.94,0.88,Online,Credit Card,88785
195,150394,01/12/2023,Beverages,2.95,34.24,0.47,Online,Credit Card,88785
196,150395,01/12/2023,Sides & Other,4.99,4.01,2.25,Online,Credit Card,88785
197,154046,01/12/2023,Burgers,12.99,2.08,4.32,Online,Gift Card,88785
198,154047,01/12/2023,Chicken Sandwiches,9.95,2.11,2.85,Online,Gift Card,88785
199,154048,01/12/2023,Fries,3.49,3.44,0.88,Online,Gift Card,88785
200,154049,01/12/2023,Beverages,2.95,5.76,0.47,Online,Gift Card,88785
201,154050,01/12/2023,Sides & Other,4.99,1,2.25,Online,Gift Card,88785
202,157701,01/12/2023,Burgers,12.99,33.1,4.32,In-store,Credit Card,88786
203,157702,01/12/2023,Chicken Sandwiches,9.95,108.74,2.85,In-store,Credit Card,88786
204,157703,01/12/2023,Fries,3.49,507.74,0.88,In-store,Credit Card,88786
205,157704,01/12/2023,Beverages,2.95,40.34,0.47,In-store,Credit Card,88786
206,157705,01/12/2023,Sides & Other,4.99,45.09,2.25,In-store,Credit Card,88786
207,161356,01/12/2023,Burgers,12.99,44.96,4.32,In-store,Cash,88786
208,161357,01/12/2023,Chicken Sandwiches,9.95,341.41,2.85,In-store,Cash,88786
209,161358,01/12/2023,Fries,3.49,49.86,0.88,In-store,Cash,88786
210,161359,01/12/2023,Beverages,2.95,35.25,0.47,In-store,Cash,88786
211,161360,01/12/2023,Sides & Other,4.99,16.03,2.25,In-store,Cash,88786
212,165011,01/12/2023,Burgers,12.99,0.85,4.32,In-store,Gift card,88786
213,165012,01/12/2023,Chicken Sandwiches,9.95,3.12,2.85,In-store,Gift card,88786
214,165013,01/12/2023,Fries,3.49,13.18,0.88,In-store,Gift card,88786
215,165014,01/12/2023,Beverages,2.95,19.66,0.47,In-store,Gift card,88786
216,165015,01/12/2023,Sides & Other,4.99,1.8,2.25,In-store,Gift card,88786
217,168666,01/12/2023,Burgers,12.99,50.35,4.32,Drive-thru,Credit Card,88786
218,168667,01/12/2023,Chicken Sandwiches,9.95,35.28,2.85,Drive-thru,Credit Card,88786
219,168668,01/12/2023,Fries,3.49,133.52,0.88,Drive-thru,Credit Card,88786
220,168669,01/12/2023,Beverages,2.95,198.98,0.47,Drive-thru,Credit Card,88786
221,168670,01/12/2023,Sides & Other,4.99,34.27,2.25,Drive-thru,Credit Card,88786
222,172321,01/12/2023,Burgers,12.99,135.95,4.32,Drive-thru,Cash,88786
223,172322,01/12/2023,Chicken Sandwiches,9.95,8.74,2.85,Drive-thru,Cash,88786
224,172323,01/12/2023,Fries,3.49,32.38,0.88,Drive-thru,Cash,88786
225,172324,01/12/2023,Beverages,2.95,281.02,0.47,Drive-thru,Cash,88786
226,172325,01/12/2023,Sides & Other,4.99,13.43,2.25,Drive-thru,Cash,88786
227,175976,01/12/2023,Burgers,12.99,3.31,4.32,Drive-thru,Gift card,88786
228,175977,01/12/2023,Chicken Sandwiches,9.95,3.82,2.85,Drive-thru,Gift card,88786
229,175978,01/12/2023,Fries,3.49,10.89,0.88,Drive-thru,Gift card,88786
230,175979,01/12/2023,Beverages,2.95,3.39,0.47,Drive-thru,Gift card,88786
231,175980,01/12/2023,Sides & Other,4.99,1.6,2.25,Drive-thru,Gift card,88786
232,179631,01/12/2023,Burgers,12.99,23.71,4.32,Online,Credit Card,88786
233,179632,01/12/2023,Chicken Sandwiches,9.95,23.42,2.85,Online,Credit Card,88786
234,179633,01/12/2023,Fries,3.49,62.75,0.88,Online,Credit Card,88786
235,179634,01/12/2023,Beverages,2.95,182.71,0.47,Online,Credit Card,88786
236,179635,01/12/2023,Sides & Other,4.99,18.04,2.25,Online,Credit Card,88786
237,183286,01/12/2023,Burgers,12.99,2.93,4.32,Online,Gift Card,88786
238,183287,01/12/2023,Chicken Sandwiches,9.95,1.21,2.85,Online,Gift Card,88786
239,183288,01/12/2023,Fries,3.49,4.01,0.88,Online,Gift Card,88786
240,183289,01/12/2023,Beverages,2.95,4.07,0.47,Online,Gift Card,88786
241,183290,01/12/2023,Sides & Other,4.99,1,2.25,Online,Gift Card,88786
242,186941,01/12/2023,Burgers,12.99,582.76,4.32,In-store,Credit Card,88787
243,186942,01/12/2023,Chicken Sandwiches,9.95,245.03,2.85,In-store,Credit Card,88787
244,186943,01/12/2023,Fries,3.49,186.53,0.88,In-store,Credit Card,88787
245,186944,01/12/2023,Beverages,2.95,125.08,0.47,In-store,Credit Card,88787
246,186945,01/12/2023,Sides & Other,4.99,71.54,2.25,In-store,Credit Card,88787
247,190596,01/12/2023,Burgers,12.99,11.24,4.32,In-store,Cash,88787
248,190597,01/12/2023,Chicken Sandwiches,9.95,27.74,2.85,In-store,Cash,88787
249,190598,01/12/2023,Fries,3.49,165.33,0.88,In-store,Cash,88787
250,190599,01/12/2023,Beverages,2.95,76.61,0.47,In-store,Cash,88787
251,190600,01/12/2023,Sides & Other,4.99,13.43,2.25,In-store,Cash,88787
252,194251,01/12/2023,Burgers,12.99,3.7,4.32,In-store,Gift card,88787
253,194252,01/12/2023,Chicken Sandwiches,9.95,3.02,2.85,In-store,Gift card,88787
254,194253,01/12/2023,Fries,3.49,6.3,0.88,In-store,Gift card,88787
255,194254,01/12/2023,Beverages,2.95,3.39,0.47,In-store,Gift card,88787
256,194255,01/12/2023,Sides & Other,4.99,1.8,2.25,In-store,Gift card,88787
257,197906,01/12/2023,Burgers,12.99,315.86,4.32,Drive-thru,Credit Card,88787
258,197907,01/12/2023,Chicken Sandwiches,9.95,141.41,2.85,Drive-thru,Credit Card,88787
259,197908,01/12/2023,Fries,3.49,177.36,0.88,Drive-thru,Credit Card,88787
260,197909,01/12/2023,Beverages,2.95,128.47,0.47,Drive-thru,Credit Card,88787
261,197910,01/12/2023,Sides & Other,4.99,53.51,2.25,Drive-thru,Credit Card,88787
262,201561,01/12/2023,Burgers,12.99,72.75,4.32,Drive-thru,Cash,88787
263,201562,01/12/2023,Chicken Sandwiches,9.95,12.96,2.85,Drive-thru,Cash,88787
264,201563,01/12/2023,Fries,3.49,94.84,0.88,Drive-thru,Cash,88787
265,201564,01/12/2023,Beverages,2.95,19.66,0.47,Drive-thru,Cash,88787
266,201565,01/12/2023,Sides & Other,4.99,13.23,2.25,Drive-thru,Cash,88787
267,205216,01/12/2023,Burgers,12.99,8.55,4.32,Drive-thru,Gift card,88787
268,205217,01/12/2023,Chicken Sandwiches,9.95,6.13,2.85,Drive-thru,Gift card,88787
269,205218,01/12/2023,Fries,3.49,10.03,0.88,Drive-thru,Gift card,88787
270,205219,01/12/2023,Beverages,2.95,23.05,0.47,Drive-thru,Gift card,88787
271,205220,01/12/2023,Sides & Other,4.99,1.6,2.25,Drive-thru,Gift card,88787
272,208871,01/12/2023,Burgers,12.99,5.85,4.32,Online,Credit Card,88787
273,208872,01/12/2023,Chicken Sandwiches,9.95,13.17,2.85,Online,Credit Card,88787
274,208873,01/12/2023,Fries,3.49,45.85,0.88,Online,Credit Card,88787
275,208874,01/12/2023,Beverages,2.95,21.36,0.47,Online,Credit Card,88787
276,208875,01/12/2023,Sides & Other,4.99,4.81,2.25,Online,Credit Card,88787
277,212526,01/12/2023,Burgers,12.99,2.93,4.32,Online,Gift Card,88787
278,212527,01/12/2023,Chicken Sandwiches,9.95,3.32,2.85,Online,Gift Card,88787
279,212528,01/12/2023,Fries,3.49,4.58,0.88,Online,Gift Card,88787
280,212529,01/12/2023,Beverages,2.95,4.07,0.47,Online,Gift Card,88787
281,212530,01/12/2023,Sides & Other,4.99,1,2.25,Online,Gift Card,88787
282,216181,01/12/2023,Burgers,12.99,190.99,4.32,In-store,Credit Card,88788
283,216182,01/12/2023,Chicken Sandwiches,9.95,21.91,2.85,In-store,Credit Card,88788
284,216183,01/12/2023,Fries,3.49,365.62,0.88,In-store,Credit Card,88788
285,216184,01/12/2023,Beverages,2.95,193.56,0.47,In-store,Credit Card,88788
286,216185,01/12/2023,Sides & Other,4.99,30.26,2.25,In-store,Credit Card,88788
287,219836,01/12/2023,Burgers,12.99,40.95,4.32,In-store,Cash,88788
288,219837,01/12/2023,Chicken Sandwiches,9.95,16.58,2.85,In-store,Cash,88788
289,219838,01/12/2023,Fries,3.49,63.32,0.88,In-store,Cash,88788
290,219839,01/12/2023,Beverages,2.95,77.97,0.47,In-store,Cash,88788
291,219840,01/12/2023,Sides & Other,4.99,42.89,2.25,In-store,Cash,88788
292,223491,01/12/2023,Burgers,12.99,3.39,4.32,In-store,Gift card,88788
293,223492,01/12/2023,Chicken Sandwiches,9.95,1.21,2.85,In-store,Gift card,88788
294,223493,01/12/2023,Fries,3.49,7.45,0.88,In-store,Gift card,88788
295,223494,01/12/2023,Beverages,2.95,6.44,0.47,In-store,Gift card,88788
296,223495,01/12/2023,Sides & Other,4.99,1.8,2.25,In-store,Gift card,88788
297,227146,01/12/2023,Burgers,12.99,144.34,4.32,Drive-thru,Credit Card,88788
298,227147,01/12/2023,Chicken Sandwiches,9.95,160.2,2.85,Drive-thru,Credit Card,88788
299,227148,01/12/2023,Fries,3.49,1101.43,0.88,Drive-thru,Credit Card,88788
300,227149,01/12/2023,Beverages,2.95,337.29,0.47,Drive-thru,Credit Card,88788
301,227150,01/12/2023,Sides & Other,4.99,23.65,2.25,Drive-thru,Credit Card,88788
302,230801,01/12/2023,Burgers,12.99,15.55,4.32,Drive-thru,Cash,88788
303,230802,01/12/2023,Chicken Sandwiches,9.95,15.18,2.85,Drive-thru,Cash,88788
304,230803,01/12/2023,Fries,3.49,127.22,0.88,Drive-thru,Cash,88788
305,230804,01/12/2023,Beverages,2.95,179.66,0.47,Drive-thru,Cash,88788
306,230805,01/12/2023,Sides & Other,4.99,2.81,2.25,Drive-thru,Cash,88788
307,234456,01/12/2023,Burgers,12.99,0.77,4.32,Drive-thru,Gift card,88788
308,234457,01/12/2023,Chicken Sandwiches,9.95,1.21,2.85,Drive-thru,Gift card,88788
309,234458,01/12/2023,Fries,3.49,6.59,0.88,Drive-thru,Gift card,88788
310,234459,01/12/2023,Beverages,2.95,21.36,0.47,Drive-thru,Gift card,88788
311,234460,01/12/2023,Sides & Other,4.99,1.6,2.25,Drive-thru,Gift card,88788
312,238111,01/12/2023,Burgers,12.99,17.24,4.32,Online,Credit Card,88788
313,238112,01/12/2023,Chicken Sandwiches,9.95,19.9,2.85,Online,Credit Card,88788
314,238113,01/12/2023,Fries,3.49,28.65,0.88,Online,Credit Card,88788
315,238114,01/12/2023,Beverages,2.95,120.68,0.47,Online,Credit Card,88788
316,238115,01/12/2023,Sides & Other,4.99,3.01,2.25,Online,Credit Card,88788
317,241766,01/12/2023,Burgers,12.99,1,4.32,Online,Gift Card,88788
318,241767,01/12/2023,Chicken Sandwiches,9.95,1.91,2.85,Online,Gift Card,88788
319,241768,01/12/2023,Fries,3.49,3.72,0.88,Online,Gift Card,88788
